Company,Website,Estimated ARR,Estimated Employees,Headquarters,Primary Category,Confidence
Tofu,https://www.tofuhq.com,$3M-$8M,20-50,Unknown,AI ABM & campaign personalization,High
Userled,https://www.userled.io,$2M-$5M,11-50,Unknown,AI ABM activation,High
Letterdrop,https://letterdrop.com,$2M-$6M,11-50,"San Francisco, CA, USA",AI content + social selling,High
Factors.ai,https://www.factors.ai,$3M-$8M,20-50,Unknown,AI ABM + attribution + intent,High
Mutiny,https://www.mutinyhq.com,$8M-$20M,51-200,Unknown,AI website personalization for B2B,High
Folloze,https://www.folloze.com,$3M-$5M,50-100,Unknown,Personalized content journeys / ABM,High
PathFactory,https://www.pathfactory.com,$8M-$20M,50-150,Unknown,Content experience platform,High
Goldcast,https://www.goldcast.io,$8M-$15M,51-200,Unknown,AI video/webinar marketing,High
Dreamdata,https://dreamdata.io,$10M-$20M,51-200,"Copenhagen, Denmark",B2B attribution,High
HockeyStack,https://hockeystack.com,$5M-$12M,20-80,Unknown,AI attribution & pipeline analytics,High
UserEvidence,https://userevidence.com,$3M-$8M,11-50,"Jackson Hole, WY, USA",Customer proof / evidence platform,High
Storylane,https://www.storylane.io,$5M-$10M,11-50,Unknown,Demo automation for B2B GTM,High
Navattic,https://www.navattic.com,$3M-$8M,11-50,Unknown,Interactive demos,High
Supademo,https://supademo.com,$2M-$6M,11-50,Unknown,Interactive demos / product walkthroughs,High
Consensus,https://goconsensus.com,$15M-$30M,51-200,Unknown,Demo automation,High
Profound,https://www.tryprofound.com,$2M-$6M,11-50,Unknown,AI search visibility / answer engine optimization,High
Slate,https://slatehq.com,$2M-$6M,11-50,Unknown,AI SEO / content engineering,High
Autobound,https://www.autobound.ai,$2M-$6M,11-50,Unknown,AI outbound personalization,High
Regie.ai,https://www.regie.ai,$8M-$15M,51-200,Unknown,AI sales + marketing content sequences,High
Warmly,https://www.warmly.ai,$2M-$8M,11-50,Unknown,B2B intent + website engagement,High
Hushly,https://www.hushly.com,$3M-$8M,11-50,Unknown,Content personalization / conversion,High
Sequel,https://www.sequel.io,$2M-$6M,11-50,Unknown,Webinars on owned website,High
Zuddl,https://www.zuddl.com,$8M-$20M,51-200,Unknown,B2B event & webinar platform,High
Demio,https://demio.com,$8M-$15M,51-200,Unknown,Webinar platform for demand gen,High
Airmeet,https://www.airmeet.com,$8M-$20M,51-200,Unknown,Virtual events / webinars,High
Livestorm,https://livestorm.co,$10M-$20M,51-200,Unknown,Webinars & virtual events,High
